City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Gornorechenskiy,RU,44.2624,135.1133,72.1,33,78,8.3,broken clouds
264,Kahului,US,20.8947,-156.47,86.02,61,40,11.5,scattered clouds
265,Florianopolis,BR,-27.6146,-48.5012,56.43,44,40,20.71,scattered clouds
266,Taoudenni,ML,22.6783,-3.9836,88.52,7,0,7.2,clear sky
267,Alice Springs,AU,-23.7,133.8833,69.35,32,75,9.22,broken clouds
268,Kurilsk,RU,45.2333,147.8833,50.88,79,53,6.67,broken clouds
269,Deputatskiy,RU,69.3,139.9,28.08,93,100,3.02,overcast clouds
270,Port Hedland,AU,-20.3167,118.5667,73.45,94,100,8.05,moderate rain
271,New Norfolk,AU,-42.7826,147.0587,52.92,65,100,7.0,overcast clouds
272,Zhigansk,RU,66.7697,123.3711,32.0,82,53,7.85,broken clouds
273,Mangrol,IN,21.1167,70.1167,82.85,71,0,9.55,clear sky
274,Roald,NO,62.5833,6.1333,51.94,58,100,11.5,overcast clouds
275,Hami,CN,42.8,93.45,76.48,21,51,11.92,broken clouds
276,Ribeira Grande,PT,38.5167,-28.7,59.2,67,100,10.67,overcast clouds
277,Zemio,CF,5.0314,25.1361,68.32,95,60,1.66,broken clouds
278,Sola,VU,-13.8833,167.55,80.11,78,11,10.92,few clouds
279,Sobolevo,RU,54.4299,31.8996,41.41,94,100,13.51,overcast clouds
280,Batagay,RU,67.6333,134.6333,41.13,61,97,3.51,overcast clouds
281,Vengerovo,RU,55.6848,76.7471,61.09,53,69,7.74,broken clouds
282,Klaksvik,FO,62.2266,-6.589,49.12,99,100,23.44,overcast clouds
283,Huarmey,PE,-10.0681,-78.1522,65.19,84,82,5.97,broken clouds
284,Brainerd,US,46.358,-94.2008,61.09,55,100,3.44,overcast clouds
285,Goundam,ML,16.4145,-3.6708,86.07,10,6,8.63,clear sky
286,Te Anau,NZ,-45.4167,167.7167,52.34,79,89,7.9,light rain
287,San Patricio,US,28.017,-97.5169,80.49,81,74,14.9,broken clouds
288,Karpogory,RU,64.0019,44.4451,34.36,67,100,5.19,overcast clouds
289,Worland,US,44.0169,-107.9554,72.88,40,0,8.99,clear sky
290,Lorengau,PG,-2.0226,147.2712,85.86,66,8,9.33,clear sky
291,Gouyave,GD,12.1646,-61.7296,79.57,78,20,20.71,few clouds
292,Sakakah,SA,29.9697,40.2064,75.92,20,40,7.96,scattered clouds
293,Konongo,GH,6.6167,-1.2167,72.95,99,78,3.15,broken clouds
294,Vilyuysk,RU,63.7553,121.6247,44.01,59,86,5.03,overcast clouds
295,Kjopsvik,NO,68.097,16.3742,43.18,99,100,4.7,overcast clouds
296,Mar Del Plata,AR,-38.0023,-57.5575,53.62,72,40,13.8,light rain
297,Ngunguru,NZ,-35.6167,174.5,64.94,96,100,3.0,light rain
298,Calella,ES,41.618,2.6678,67.95,88,6,2.68,clear sky
299,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,95,75,6.91,broken clouds
300,Richards Bay,ZA,-28.783,32.0377,65.93,85,0,10.47,clear sky
301,Yei,SS,4.095,30.6779,68.36,84,100,2.64,light rain
302,Namatanai,PG,-3.6667,152.4333,85.06,69,23,5.66,few clouds
303,Preeceville,CA,51.95,-102.6677,42.22,95,100,10.11,overcast clouds
304,Alamos,MX,27.0167,-108.9333,80.38,39,0,4.9,clear sky
305,Shubarkuduk,KZ,49.1447,56.4872,53.08,66,58,15.01,broken clouds
306,Maniitsoq,GL,65.4167,-52.9,34.34,73,45,5.64,scattered clouds
307,Tabou,CI,4.423,-7.3528,79.63,82,72,7.29,broken clouds
308,Svetlogorsk,BY,52.6333,29.7333,40.35,97,100,11.39,overcast clouds
309,Luderitz,NA,-26.6481,15.1594,69.62,38,96,4.0,overcast clouds
310,Katsina,NG,12.9894,7.6006,79.7,7,1,6.04,clear sky
311,Gillette,US,44.2911,-105.5022,65.1,57,0,1.99,clear sky
312,Maumere,ID,-8.6199,122.2111,84.61,67,97,2.57,overcast clouds
313,Qasigiannguit,GL,68.8193,-51.1922,30.45,94,20,4.99,few clouds
314,Ahipara,NZ,-35.1667,173.1667,66.56,96,100,11.45,light rain
315,Tambura,SS,5.6,27.4667,71.78,80,100,1.5,overcast clouds
316,San Vicente,AR,-26.6167,-54.1333,42.89,82,90,6.76,overcast clouds
317,Jutai,BR,-5.1833,-68.9,69.87,92,95,2.3,overcast clouds
318,Shimoda,JP,34.6667,138.95,70.11,69,86,7.0,overcast clouds
319,Mataundh,IN,25.45,80.15,98.1,10,27,4.29,scattered clouds
320,Yumen,CN,40.2833,97.2,69.49,20,2,2.98,clear sky
321,Alpena,US,45.0617,-83.4327,50.32,62,0,5.75,clear sky
322,Beira,MZ,-19.8436,34.8389,67.33,93,34,9.44,light rain
323,Awbari,LY,26.5921,12.7805,73.62,16,0,0.98,clear sky
324,Mana,GF,5.6592,-53.7767,78.26,90,100,8.46,overcast clouds
325,Macau,MO,22.2006,113.5461,80.85,60,0,9.22,clear sky
326,Requena,ES,39.4883,-1.1004,57.52,46,62,2.19,broken clouds
327,La Sarre,CA,48.8002,-79.1996,37.47,57,1,5.32,clear sky
328,Poso,ID,-1.3959,120.7524,80.15,81,100,3.22,overcast clouds
329,Sur,OM,22.5667,59.5289,87.33,38,2,9.17,clear sky
330,Trincomalee,LK,8.5711,81.2335,83.86,71,100,18.7,overcast clouds
331,Eirunepe,BR,-6.6603,-69.8736,67.57,90,99,2.51,overcast clouds
332,Tocopilla,CL,-22.092,-70.1979,66.67,53,50,8.32,scattered clouds
333,Tura,IN,25.5198,90.2201,76.91,94,80,6.55,broken clouds
334,Manggar,ID,-2.8833,108.2667,86.27,67,53,6.64,broken clouds
335,Dingle,PH,10.9995,122.6711,85.35,69,100,2.68,overcast clouds
336,Hit,IQ,33.6416,42.8251,75.87,27,0,7.02,clear sky
337,Harper,LR,4.375,-7.7169,79.7,82,79,7.67,broken clouds
338,Sitka,US,57.0531,-135.33,51.69,50,100,12.66,overcast clouds
339,Katobu,ID,-4.9408,122.5276,83.01,79,83,1.72,broken clouds
340,Rawah,IQ,34.4816,41.9093,72.23,33,0,4.94,clear sky
341,Banda Aceh,ID,5.5577,95.3222,83.64,69,100,7.9,overcast clouds
342,Qaqortoq,GL,60.7167,-46.0333,33.75,87,80,4.21,broken clouds
343,Novoilinsk,RU,51.6829,108.7143,68.2,33,49,10.89,scattered clouds
344,Miraflores,MX,19.2167,-98.8083,76.03,31,46,5.12,scattered clouds
345,Koster,ZA,-25.863,26.8976,48.78,79,35,2.98,scattered clouds
